item_no,series,product_name,material,size,packing,gross_weight,cbm,pdf_page,image,confidence
171428,Lithium Battery Tool Series,2OAR,,,6/1,16.5,0.067,123,images/p123_c2_5.png,high
171406,Lithium Battery Tool Series,4.0ah,,,3/1,16.5,0.056,124,images/p124_c1_3.png,high
171410,Lithium Battery Tool Series,3.0ah,COPPSR,,6/1,14,0.07,124,images/p124_c2_5.png,high
171430,Lithium Battery Tool Series,MOTOR,,,4/1,16.5,0.066,124,images/p124_c0_0.png,high
171432,Lithium Battery Tool Series,WISEUPa,,,5/1,20.3,0.066,124,images/p124_c1_2.png,high
171433,Lithium Battery Tool Series,4.0ah,,245MM/4.0AH,4/1,,0.143,124,images/p124_c2_4.png,high
171434,Lithium Battery Tool Series,2.DAR,,,6/1,14.5,0.051,124,images/p124_c0_1.png,high
171411,Lithium Battery Tool Series,BLOWING RATE 0-9M3/MIN,,,4/1,13,0.09,125,images/p125_c0_0.png,high
171423,Lithium Battery Tool Series,MISEUR,,,4/1,10.5,0.068,125,images/p125_c0_1.png,high
171424,Lithium Battery Tool Series,FAST CHARGE,,4.8°/123MM,6/1,20,0.12,125,images/p125_c1_2.png,high
171431,Lithium Battery Tool Series,FUSE*1 / AIR NOZZLE*3,,,,15,0.087,125,images/p125_c2_4.png,high
200312,Lithium Battery Tool Series,WITH 100CM CABLE,,,,12,0.038,125,images/p125_c2_5.png,high
200301,Lithium Battery Tool Series,MAGNETIC,,,,,0.032,126,images/p126_c1_0.png,high
200302,Lithium Battery Tool Series,UNSEUP,,,,10,0.05,126,images/p126_c2_2.png,high
200310,Lithium Battery Tool Series,NAGNETIC,,,,4.3,0.017,126,images/p126_c1_1.png,high
200311,Lithium Battery Tool Series,Butterfly Worklight,,2*5W,,10,0.033,126,images/p126_c2_3.png,high
171401,Electric Drill/Pickaxe Series,Cordless Drill,,,8/1,9.6,0.024,128,images/p128_c0_0.png,high
171402,Electric Drill/Pickaxe Series,Cordless Drill,,,5/1,16.5,0.04,128,images/p128_c0_1.png,high
170201,Electric Drill/Pickaxe Series,0~2800R/MIN,,850W/13MM,6/1,14.4,0.0448,130,images/p130_c0_0.png,high
170202,Electric Drill/Pickaxe Series,0~3000R/MIN,,710W/13MM,,21.2,0.067,130,images/p130_c1_2.png,high
170203,Electric Drill/Pickaxe Series,0~4300RIMIN,,,,15.5,0.04,130,images/p130_c2_4.png,high
170204,Electric Drill/Pickaxe Series,0~3300R/MIN,,450W/10MM,10/1,16.8,0.0397,130,images/p130_c0_1.png,high
170205,Electric Drill/Pickaxe Series,0~2800RIMIN,,1100W/13MM,6/1,17,0.071,130,images/p130_c1_3.png,high
170206,Electric Drill/Pickaxe Series,50160OHz MAX DRILL DIAMETER WOOD,,1200W/16MM,5/1,22.3,0.079,130,images/p130_c2_5.png,high
170907,Electric Drill/Pickaxe Series,CONTAINS,1.OIL1PC 2.ACIXILIARY HANDLE 1PC 3.HCINCIAL 1PC4.CARBON BRUSH 1PAIR,1500W/32MM,3/1,23,0.055,131,images/p131_c0_1.png,high
170908,Electric Drill/Pickaxe Series,1.0IL1P2.AUXILIARY HANDLE IPC3.MUINUAL1PC,,,3/1,23,0.053,131,images/p131_c1_3.png,high
170909,Electric Drill/Pickaxe Series,1.0IL IPC 2.AUXILIARY HANDLE1PC 3.MUNUAL1PC,,,3/1,23,0.062,131,images/p131_c2_5.png,high
172313,Electric Drill/Pickaxe Series,Bench Drill,,13MM/350W-580MM,,15,0.033,131,images/p131_c0_0.png,high
172316,Electric Drill/Pickaxe Series,ECCINTE,,16MM/500W-680MM,,26,0.037,131,images/p131_c1_2.png,high
172320,Electric Drill/Pickaxe Series,Bench Drill,,20MM/750W-1000MM,,75,0.15,131,images/p131_c2_4.png,high
170901,Electric Drill/Pickaxe Series,,,1050W/26MM,3/1,20.2,0.048,132,images/p132_c1_3.png,low
170902,Electric Drill/Pickaxe Series,,,26MM-800W,4/1,22,0.071,132,images/p132_c1_2.png,low
170903,Electric Drill/Pickaxe Series,WEUP,,,,13,0.044,132,images/p132_c0_0.png,high
170905,Electric Drill/Pickaxe Series,170M,,1250W/17MM,3/1,27,0.082,132,images/p132_c0_1.png,high
170906,Electric Drill/Pickaxe Series,DXFFER,,1500W/30MM,,21,0.055,132,images/p132_c2_5.png,high
170928,Electric Drill/Pickaxe Series,IMPACT ENERGY PER,,28MM/1100W,,23,0.079,132,images/p132_c2_4.png,high
196039,Electric Drill/Pickaxe Series,WEUP,,,,,,132,,low
121801,Electric Drill/Pickaxe Series,2800N.m,,"2800N.m-1""",,16,0.031,134,images/p134_c0_1.png,high
121802,Electric Drill/Pickaxe Series,WIN HAMIMER/FRONT EXHAUST,,"640N.m-1/2""",8/1,24,0.033,134,images/p134_c1_3.png,high
170210,Electric Drill/Pickaxe Series,400N.M,,,5/1,15.5,0.035,134,images/p134_c2_5.png,high
170910,Electric Drill/Pickaxe Series,1.OIL 1PC 2.ALIXILUARY HANDLE IPC 3.MUNUAL 1PC,,,,23,0.034,134,images/p134_c0_0.png,high
170911,Electric Drill/Pickaxe Series,CONTAINS,CARBON BR(ISH1PAIR / MUNCIAL 1PC / SPANNER 1PC,,,23,0.034,134,images/p134_c1_2.png,high
170912,Electric Drill/Pickaxe Series,CONTAINS,CARBON BR(ISH 1PAIR / MUNCIAL1PC / SPANNER 1PC,,,23,0.034,134,images/p134_c2_4.png,high
171901,Electric Drill/Pickaxe Series,1PC MANDRELS FOR WHEEL,,,,13,0.051,135,images/p135_c0_0.png,high
171910,Electric Drill/Pickaxe Series,1PCS HSS CUTTERS10PCS DIAMOND CUTTERS,2PCS WIRE POLISHING BRUSH,,,10,0.054,135,images/p135_c1_2.png,high
180105,Electric Drill/Pickaxe Series,30N/M,,10MM,,8.3,0.041,135,images/p135_c2_6.png,high
180106,Electric Drill/Pickaxe Series,30N/M,,13MM,,12,0.041,135,images/p135_c2_6.png,high
180107,Electric Drill/Pickaxe Series,30N/M,,16MM,200/40,13,0.041,135,images/p135_c2_6.png,high
180115,Electric Drill/Pickaxe Series,THREAD,,10MM,,12,0.047,135,images/p135_c1_3.png,high
180116,Electric Drill/Pickaxe Series,1/2-20UNF,,13MM,60/10,,0.047,135,images/p135_c2_4.png,high
180117,Electric Drill/Pickaxe Series,1PC KEY+1PC SDS-PLUS ADAPTER,,13MM,,8.1,0.047,135,images/p135_c0_1.png,high
180118,Electric Drill/Pickaxe Series,1/2-20UNF,,16MM,48/8,7.2,0.047,135,images/p135_c2_5.png,high
170101,Polishing Series,11000R/MIN,,100MM/M10,10/1,23,0.0511,137,images/p137_c2_4.png,high
170102,Polishing Series,LOCS-,,115MM/M14,10/1,24,0.053,137,images/p137_c0_1.png,high
170103,Polishing Series,6500R/MIN,,180MM/M14,4/1,16.5,0.04,137,images/p137_c1_3.png,high
170104,Polishing Series,6500R/MIN,,230MM/M14,2/1,13.3,0.031,137,images/p137_c2_5.png,high
170105,Polishing Series,11000R/MIN,,100MM-850W,10/1,21,0.05,137,images/p137_c0_0.png,high
170106,Polishing Series,11000R/MIN,,115MM-850W,10/1,21,0.05,137,images/p137_c1_2.png,high
170107,Polishing Series,11000R/MIN,,125MM-850W,,21,0.05,137,images/p137_c1_2.png,high
171002,Polishing Series,QUICK CHUCK,,800W/100MM,10/1,14.5,0.046,138,images/p138_c0_1.png,high
171102,Polishing Series,CPER,,150MM,4/1,20,0.012,138,images/p138_c1_3.png,high
171106,Polishing Series,209A,,125MM-280W,4/1,7.5,0.012,138,images/p138_c2_5.png,high
171107,Polishing Series,Palm Sander,,110*100MM-230W,10/1,15.6,0.047,138,images/p138_c1_2.png,high
171108,Polishing Series,Orbital Sander,,93*185MM-320W,,20.6,0.051,138,images/p138_c2_4.png,high
171113,Polishing Series,2M CABLE,,1400W/180MM,4/1,14.5,0.046,138,images/p138_c0_0.png,high
130011,Cutting Tool Series,Gasoline Brush Cutter,,,,1.4518,,139,images/p139_c1_2.png,high
170701,Cutting Tool Series,"IS NOT FALSELY MARKED, INDUSTRIAL QUALITY.",,,4/1,41.5,0.21,139,images/p139_c0_1.png,high
170702,Cutting Tool Series,FIR SAING,,,2/1,20,0.076,139,images/p139_c1_3.png,high
171801,Cutting Tool Series,CO2PER,,120MM-1400W,2/1,11.5,0.05,139,images/p139_c2_5.png,high
171902,Cutting Tool Series,2M CABLE,,710W/25MM,6/1,14.5,0.046,139,images/p139_c0_0.png,high
172201,Cutting Tool Series,Dry Wall Sander,,900W-180MM,4/1,16,0.112,139,images/p139_c1_2.png,high
172202,Cutting Tool Series,Dry Wall Sander,,880W-215MM,,,0.065,139,images/p139_c2_4.png,high
170302,Cutting Tool Series,NO-X301,,185MM/1400W,2/1,12.4,0.064,140,images/p140_c0_1.png,high
170304,Cutting Tool Series,SAECK,,230MM/2200W,2/1,19,0.045,140,images/p140_c1_3.png,high
170306,Cutting Tool Series,1X RIP FENCEGUIDED ON BOTH SIDES,,10′/255MM,,23,0.189,140,images/p140_c2_5.png,high
170308,Cutting Tool Series,0.8MPA(100PSI),,355MM-2500W,,16,0.07,140,images/p140_c2_4.png,high
170310,Cutting Tool Series,Marble Cutter,,115MM/1380W,4/1,15,0.044,140,images/p140_c1_2.png,high
172101,Cutting Tool Series,TCT BLADE,,82MM*1MM,4/1,15,0.045,140,images/p140_c0_0.png,high
170309,Cutting Tool Series,1PC M6 HEX WRENCH 1PC DCIST BAG,,10/255MM,,23,0.112,141,images/p141_c0_0.png,high
170311,Cutting Tool Series,IPC M6 HEX WRENCH1PC DCIST BAG1PC CLAMPING BLOCK COMPONENTS,ZPCS WINGS (LEFT AND RIGHT)1PAIR OF CARBON BRUSH,"10""/255MM",,23,0.09,141,images/p141_c1_2.png,high
170312,Cutting Tool Series,IPC M6 HEX WRENCH,,10/255MM,,23,0.09,141,images/p141_c2_4.png,high
171005,Cutting Tool Series,2M CABLE,,750W/115MM,5/1,14.5,0.046,141,images/p141_c0_1.png,high
172002,Cutting Tool Series,1F/21,,"18""/450MM",2/1,16,0.084,141,images/p141_c1_3.png,high
172003,Cutting Tool Series,1F/21,,"20""/500MM",2/1,17,0.094,141,images/p141_c1_3.png,high
172016,Cutting Tool Series,Electric Chain Saw,CPPE,"16""/400MM",4/1,24.5,0.076,141,images/p141_c2_5.png,high
121113,Electric Spray Gun/Blower Series,DURABLE 12.9 GRADE HIGH STRENGTH HEXAGON,LIGHT WEIGHT DIE CAST ALUMINUMALLOY BODY,,,10,0.026,142,images/p142_c2_4.png,high
121116,Electric Spray Gun/Blower Series,DURABLE 12.9 GRADE HIGH STRENGTH HEXAGON,LIGHT WEIGHT DIE CAST ALUMINUM ALLOY BODY,,,10,0.026,142,images/p142_c0_1.png,high
121130,Electric Spray Gun/Blower Series,DURABLE 12.9 GRADE HIGH STRENGTH HEXAGON,LIGHT WEIGHT DIE CAST ALUMINUM ALLOY BODY,,,10,0.035,142,images/p142_c1_3.png,high
121150,Electric Spray Gun/Blower Series,DURABLE 12.9 GRADE HIGH STRENGTH HEXAGON,LIGHT WEIGHT DIE CAST ALUMINUM ALLOY BODY,,,10,0.046,142,images/p142_c2_5.png,high
171601,Electric Spray Gun/Blower Series,,,6MM-550W,10/1,22,0.042,142,images/p142_c1_2.png,low
171602,Electric Spray Gun/Blower Series,Router Machine,,12MM-2200W,4/1,27,0.066,142,images/p142_c0_0.png,high
041201,Electric Spray Gun/Blower Series,WSELD,,20-63MM/1500W,5/1,20.5,0.032,143,images/p143_c0_1.png,high
064301,Electric Spray Gun/Blower Series,Dc Liquid Adding Pump,,12V-25MM,6/1,22,0.62,143,images/p143_c2_4.png,high
121601,Electric Spray Gun/Blower Series,Staple,,0.95*1.25*29.5MM,,15,0.015,143,images/p143_c1_2.png,high
121602,Electric Spray Gun/Blower Series,Staple,,0.95*1.25*39.5MM,,10,0.015,143,images/p143_c1_2.png,high
121603,Electric Spray Gun/Blower Series,Staple,,0.95*1.25*49.5MM,,10,0.015,143,images/p143_c1_2.png,high
121604,Electric Spray Gun/Blower Series,Staple,,0.6*0.95*9.5MM,,20,0.016,143,images/p143_c0_0.png,high
121605,Electric Spray Gun/Blower Series,Staple,,0.6*0.95*15.5MM,,12,0.016,143,images/p143_c0_0.png,high
170401,Electric Spray Gun/Blower Series,Hot Air Gun,,,10/1,9.8,0.069,143,images/p143_c1_3.png,high
170402,Electric Spray Gun/Blower Series,UISEUP,,,5/1,7.5,0.04,143,images/p143_c2_5.png,high
120301,Electric Spray Gun/Blower Series,Electric Spray Gun,,,5/1,10,0.048,144,images/p144_c0_0.png,high
120302,Electric Spray Gun/Blower Series,SEUP,,,6/1,11.25,0.055,144,images/p144_c1_2.png,high
120303,Electric Spray Gun/Blower Series,Electric Spray Gun,,,4/1,11,0.07,144,images/p144_c2_4.png,high
170403,Electric Spray Gun/Blower Series,Blower,,,8/1,12.9,0.075,144,images/p144_c1_3.png,high
170404,Electric Spray Gun/Blower Series,S50N,,,4/1,12.7,0.098,144,images/p144_c0_1.png,high
170405,Electric Spray Gun/Blower Series,Blower,,,6/1,12.2,0.055,144,images/p144_c2_5.png,high
172801,Decoration Tool Series,Vibrator,,,,14,0.053,145,images/p145_c2_5.png,high
172802,Decoration Tool Series,Concrete Vibrator,,,,10,0.053,145,images/p145_c1_2.png,high
172803,Decoration Tool Series,"SINGLE CYLINDER,4STROKE ,FORCED AIR COOLING",,,,21.5,0.053,145,images/p145_c0_0.png,high
172835,Decoration Tool Series,INDUSTRIAL,,,,21.5,0.015,145,images/p145_c2_4.png,high
172838,Decoration Tool Series,INDUSTRIAL,,,,15,0.053,145,images/p145_c0_1.png,high
172845,Decoration Tool Series,INDUSTRIAL,,,,16,0.053,145,images/p145_c1_3.png,high
171303,Vacuum/Cleaning Series,High Pressure Washer,,,20/1,28,0.09,146,images/p146_c2_5.png,high
171304,Vacuum/Cleaning Series,High Pressure Washer,,,20/1,29,0.011,146,images/p146_c1_3.png,high
172721,Vacuum/Cleaning Series,Durm opening,,1280*890*1350mm,,64,,146,images/p146_c0_0.png,high
172735,Vacuum/Cleaning Series,Maximum outer diameter 800MIM,,2540*1260*1420MM,,239,,146,images/p146_c1_2.png,high
172901,Vacuum/Cleaning Series,SINGLE CULINDER.4 STROKE.FORCED AIR COOLING,,,,66,0.053,146,images/p146_c0_1.png,high
172906,Vacuum/Cleaning Series,RECOIL START,,,,80,0.053,146,images/p146_c2_4.png,high
063801,Vacuum/Cleaning Series,WISEUPE,,,6/1,19,0.054,147,images/p147_c2_5.png,high
171305,Vacuum/Cleaning Series,High Pressure Washer,,,,7.8,0.031,147,images/p147_c1_3.png,high
171306,Vacuum/Cleaning Series,WSEUP,,,,,0.04,147,images/p147_c0_0.png,high
171307,Vacuum/Cleaning Series,Max Presure(bar) 170,,,,9.8,0.063,147,images/p147_c1_2.png,high
171308,Vacuum/Cleaning Series,Max Presure(bar),,,,13.1,0.08,147,images/p147_c2_4.png,high
171415,Vacuum/Cleaning Series,Cordless Pressure Washer,,,5/1,18,0.075,147,images/p147_c0_1.png,high
131102,Vacuum/Cleaning Series,INDUSTRIAL,,4.5/115MM,120/12,16,0.049,148,images/p148_c2_5.png,high
131103,Vacuum/Cleaning Series,INDUSTRIAL,,"5""/125MM",120/12,16,0.057,148,images/p148_c2_5.png,high
131104,Vacuum/Cleaning Series,INDUSTRIAL,,"7""/180MM",72/12,16,0.049,148,images/p148_c2_5.png,high
170506,Vacuum/Cleaning Series,wseup,,,4/1,24.5,0.052,148,images/p148_c1_3.png,high
170507,Vacuum/Cleaning Series,750Ah,,,,5.5,0.027,148,images/p148_c0_1.png,high
172415,Vacuum/Cleaning Series,DUAL USE,,,,6.2,0.044,148,images/p148_c0_0.png,high
172430,Vacuum/Cleaning Series,WISED,,,,8.9,0.073,148,images/p148_c1_2.png,high
172470,Vacuum/Cleaning Series,DUAL USE,,,,17,0.171,148,images/p148_c2_4.png,high
170601,Air Compressor Series,0.8MPA(100PSI),,,,24,0.086,149,images/p149_c0_0.png,high
170602,Air Compressor Series,0.8MPA(100PSI),,,,30,0.128,149,images/p149_c1_2.png,high
170603,Air Compressor Series,0.8MPA(100PSI),,,,15,0.044,149,images/p149_c2_4.png,high
170604,Air Compressor Series,Air Compressor,,,,19.5,0.08,149,images/p149_c0_1.png,high
170605,Air Compressor Series,STAR,,,,36.5,0.135,149,images/p149_c1_3.png,high
170501,Welding Machine Series,160a,,MMA-160,,4.2,0.02,150,images/p150_c2_5.png,high
170502,Welding Machine Series,UMSEUP,,MMA-200,,4.7,0.02,150,images/p150_c1_4.png,high
170503,Welding Machine Series,10-258A,,MMA-250,,6.9,0.029,150,images/p150_c2_6.png,high
170508,Welding Machine Series,Mask,,MMA-160,,4.1,0.012,150,images/p150_c0_0.png,high
170509,Welding Machine Series,Mask,,MMA-200,,4.4,0.012,150,images/p150_c0_1.png,high
170510,Welding Machine Series,Mask,,MMA-250,,4.9,0.012,150,images/p150_c0_2.png,high
170513,Welding Machine Series,"MASK, HARMIMER/BRUSH",,,,16,0.053,150,images/p150_c1_3.png,high
170500,Welding Machine Series,20-120A,,MMA-120A,4/1,10,0.027,151,images/p151_c0_0.png,high
170511,Welding Machine Series,160a,,,,12.5,0.067,151,images/p151_c1_2.png,high
170512,Welding Machine Series,120a,,,,,0.023,151,images/p151_c2_4.png,high
170816,Welding Machine Series,1.5BAR,,,12/1,17,0.1,151,images/p151_c2_5.png,high
170817,Welding Machine Series,UNSEUP,,,12/1,15,0.064,151,images/p151_c1_3.png,high
170819,Welding Machine Series,Float Switch,,,20/1,14,0.045,151,images/p151_c0_1.png,high
170820,Welding Machine Series,Float Switch,,,20/1,15.5,0.047,151,images/p151_c0_1.png,high
170821,Welding Machine Series,Float Switch,,,20/1,19,0.045,151,images/p151_c0_1.png,high
170801,Water Pump Series,Clean Water Pump,,"QB60/1""X1""",4/1,22.5,0.033,152,images/p152_c0_0.png,high
170802,Water Pump Series,Clean Water Pump,,"CPM158/1""X1""",,12.9,0.02,152,images/p152_c1_4.png,high
170803,Water Pump Series,Clean Water Pump,,"JET-100L/1""X1""",,14,0.021,152,images/p152_c2_6.png,high
170804,Water Pump Series,Clean Water Pump,,"JSW45/1""X1""",,14,0.021,152,images/p152_c0_3.png,high
170805,Water Pump Series,Clean Water Pump,,"JSW551""X1""",,14.3,0.021,152,images/p152_c1_5.png,high
170806,Water Pump Series,UISEUP,,"AUPS126/1""X1""",,9.4,0.021,152,images/p152_c2_7.png,high
170823,Water Pump Series,QB60,,"QB70/1""X1""",,,0.0128,152,images/p152_c0_1.png,high
170824,Water Pump Series,Q MAX-42L/MIN,,"QB80/1""X1""",,,0.0128,152,images/p152_c0_2.png,high
170810,Water Pump Series,Clean Water Pump,,"STP50/1""X1""",,8.6,0.22,153,images/p153_c1_3.png,high
170825,Water Pump Series,WITH THERMAL PROTECTION,,1'- 400W,,9.9,0.017,153,images/p153_c0_0.png,high
170826,Water Pump Series,Q MAX.450L/MIN,,,,19.6,0.031,153,images/p153_c1_2.png,high
170827,Water Pump Series,Q MAX.65L/MIN,,1'-370W,,8.4,0.01,153,images/p153_c2_4.png,high
170828,Water Pump Series,WITH THERMAL PROTECTION,,1'-550W,,8.9,0.01,153,images/p153_c2_5.png,high
170829,Water Pump Series,WITH THERMAL PROTECTION,,"1""-750W",,19.8,0.08,153,images/p153_c0_1.png,high
170840,Water Pump Series,180L/MIN,,"370W / 0.5HP 1.2""",,10.8,0.0146,153,images/p153_c2_6.png,high
170841,Water Pump Series,180L/MIN,,"550W / 0.75HP 1.2""",,11.8,0.0163,153,images/p153_c2_6.png,high
170842,Water Pump Series,180L/MIN,,"750W / 1.0HP 1.2""",,13.8,0.018,153,images/p153_c2_6.png,high
170843,Water Pump Series,180L/MIN,,"1100W / 1.5HP 2""",,15.8,0.019,153,images/p153_c2_6.png,high
170844,Water Pump Series,180L/MIN,,"1500W / 2.0HP 2""",,18.5,0.02,153,images/p153_c2_6.png,high
170845,Water Pump Series,180L/MIN,,"2200W/3.0HP2""",,25.4,0.032,153,images/p153_c2_6.png,high
170807,,SELE,,"QDX1.5/1""X1""",,7.3,0.017,154,images/p154_c0_0.png,high
170809,,120/V,,"QDX1.5/1""X1""",,12.85,0.022,154,images/p154_c1_2.png,high
170812,,Dirty Water Pump,,V750Q/50MM,,18.5,0.024,154,images/p154_c2_4.png,high
170814,,Dirty Water Pump,,V1500/50MM,,20.5,0.032,154,images/p154_c0_1.png,high
170850,,INPUT,,"400W-1.25""X1""",4/1,12.95,0.0448,154,images/p154_c1_3.png,high
170851,,HUSS RIN,,"750W-1.25""X1*",4/1,15,0.0448,154,images/p154_c2_5.png,high
170831,,Gasoline Water Pump,,"7HP / 2""",,20.5,0.074,155,images/p155_c2_5.png,high
170832,,Gasoline Water Pump,,"7HP / 3""",,22,0.081,155,images/p155_c2_5.png,high
170860,,Automatic Booster Pump,,,,20,0.045,155,images/p155_c0_0.png,high
170861,,Automatic Booster Pump,,,,22,0.05,155,images/p155_c0_1.png,high
171201,,GENERATON,,,,16.5,0.04,155,images/p155_c1_3.png,high
171205,,Gasoline Generator (Silent),,,,23,0.85,155,images/p155_c2_6.png,high
171217,,72dB,,,,157,0.44,155,images/p155_c1_4.png,high
172701,,WSEUP,,,,18,0.45,155,images/p155_c0_2.png,high
171202,Generator Series,Gasoline Generator,,,,37.6,0.126,156,images/p156_c2_5.png,high
171206,Generator Series,Gasoline Generator (Silent),,,,45,0.149,156,images/p156_c0_0.png,high
171207,Generator Series,63dB,,,,44,0.161,156,images/p156_c1_2.png,high
171208,Generator Series,Gasoline Welder/Generator,,,,45,0.161,156,images/p156_c2_4.png,high
171209,Generator Series,Gasoline Welder/Generator,,,,44,0.161,156,images/p156_c0_1.png,high
171216,Generator Series,Diesel Generator,,,,100,0.247,156,images/p156_c1_3.png,high
171203,Generator Series,UISEUP,,,,42.2,0.126,157,images/p157_c0_0.png,high
171204,Generator Series,unseup,,,,85.5,0.25,157,images/p157_c1_1.png,high
171210,Generator Series,CURRENT 190A,,,,97,0.25,157,images/p157_c2_2.png,high
